crop,province,region,year,C_var,q_output,S_labor,S_mach,S_fert,S_seed,S_other,w_labor,w_mach,w_fert,w_seed,w_other,labor_days,fert_kg,cost_labor,cost_mach,cost_fert,cost_seed,cost_other,cost_land,land_rent
peanut,河北,huabei,2016,1300.4498,264.93,0.629466666072001,0.0925141439523464,0.0817870862835305,0.155207836550092,0.0410242671420304,81.4,47.2917,5.72135556750941,11.6670520231214,17.4994348727808,10.09,18.59,818.5898,120.31,106.36,201.84,53.35,260.09,9.95
peanut,河北,huabei,2017,1303.9378,270.91,0.625503609144547,0.095464676305879,0.0813919191544259,0.15553656010279,0.0421032352923583,83.1,50.625,5.49327122153209,11.6090440755581,18.6796272205189,9.86,19.32,815.6178,124.48,106.13,202.81,54.9,259.43,10.66
peanut,河北,huabei,2018,1278.96916,285.34,0.619584259561036,0.101331606776195,0.0833718304826052,0.15091059740643,0.0448017057737342,84.89,52.5,5.71130155329405,11.0544100801833,19.4077651908513,9.38,18.67,792.42916,129.6,106.63,193.01,57.3,243.52,12.32
peanut,河北,huabei,2019,1291.05,287.69,0.611788854033539,0.099027923008404,0.0872468146082646,0.159846636458696,0.0420897718910964,86.38,52.5,6.13841961852861,11.6461625282167,19.3513677583964,9.18,18.35,789.85,127.85,112.64,206.37,54.34,225.85,12.33
peanut,河北,huabei,2020,1315.62,302.03,0.600150499384321,0.101784709870631,0.0888098387072255,0.165610130584819,0.0436448214530032,89.77,52.5,6.29865229110512,11.4673684210526,19.3637181881829,8.79,18.55,789.57,133.91,116.84,217.88,57.42,296.22,8.42
peanut,河北,huabei,2021,1264.48,301.51,0.570392572440845,0.106913513855498,0.0958180437808427,0.17391338732127,0.0529624826015437,92.2,52.5,6.46531483457844,11.6292966684294,18.7020998125031,7.81,18.74,721.25,135.19,121.16,219.91,66.97,275.48,8.99
peanut,河北,huabei,2022,1301.51,305.2,0.551659226590652,0.110802068366743,0.108865855813632,0.172776236832602,0.0558966123963704,95.3,52.15,7.53269537480064,12.2478213507625,19.3217634482191,7.47,18.81,717.99,144.21,141.69,224.87,72.75,257.04,10.06
peanut,河北,huabei,2023,1326.6,311.12,0.550188451680989,0.110349766319916,0.107560681441278,0.177890848786371,0.0540102517714458,96.95,55.0625,7.69633225458468,12.763115197404,18.8489385050313,7.48,18.54,729.88,146.39,142.69,235.99,71.65,295.79,10.54
peanut,河北,huabei,2024,1343.96,318.48,0.568327926426382,0.105397482067919,0.104750141373255,0.167415696895741,0.0541087532367035,99.92,54.9167,7.2679401135777,12.221618685497,17.4157955687253,7.59,19.37,763.81,141.65,140.78,225,72.72,290.42,12.23
peanut,河南,huabei,2004,356.68,199.3,0.500084109005271,0.0566614332174498,0.126780307278233,0.260737916339576,0.0557362341594707,13.7,26.3345215647148,4.13345521023766,5.74074074074074,10.2489438491895,13.02,10.94,178.37,20.21,45.22,93,19.88,41.98,3.25
peanut,河南,huabei,2005,374.26,189,0.539624859723187,0.0613210067867258,0.133383209533479,0.217789771816384,0.0478811521402234,15.3,28.4512730588261,5.21630094043887,5.62137931034483,13.4516898492121,13.2,9.57,201.96,22.95,49.92,81.51,17.92,56.58,
peanut,河南,huabei,2006,391.56,224.2,0.484268055981204,0.074599039738482,0.176524670548575,0.217616712636633,0.0469915210951068,16.9,29.5833,4.74725274725275,5.59855453350854,17.4270286822288,11.22,14.56,189.62,29.21,69.12,85.21,18.4,54.79,
peanut,河南,huabei,2007,417.71,171.4,0.461995164109071,0.0712695410691628,0.159680160877164,0.263723636015417,0.0433314979291853,18.7,33.3333,4.82983345401883,7.07514450867052,22.455470508344,10.32,13.81,192.98,29.77,66.7,110.16,18.1,115.11,
peanut,河南,huabei,2008,481.5,209.4,0.420332294911734,0.0739563862928349,0.201453790238837,0.268348909657321,0.0359086188992731,21.6,37.9167,6.33159268929504,8.25095785440613,23.0368093294814,9.37,15.32,202.39,35.61,97,129.21,17.29,126.88,
peanut,河南,huabei,2009,448.4,225.6,0.465031222123105,0.096164139161463,0.193398751115076,0.190031222123104,0.0553746654772525,24.8,40,5.0951821386604,6.40195341848234,20.7098246823915,8.41,17.02,208.52,43.12,86.72,85.21,24.83,136.36,
peanut,河南,huabei,2010,555,196.24,0.477693693693694,0.0836216216216216,0.176576576576577,0.211675675675676,0.0504324324324324,31.3,39.75,5.32608695652174,7.95934959349594,24.0651593871861,8.49,18.4,265.12,46.41,98,117.48,27.99,146.92,3.51
peanut,河南,huabei,2011,704.13,264.87,0.440998111144249,0.0616647494070697,0.157783363867468,0.270049564711062,0.0695042108701518,40,42.293616539615,6.50468384074942,11.8769519050593,25.8812279231961,7.76,17.08,310.52,43.42,111.1,190.15,48.94,153.86,9.36
peanut,河南,huabei,2012,886.08,234.83,0.47193255687974,0.103150957024196,0.142549205489346,0.223557692307692,0.0588095882990249,56,45,6.83495670995671,11.890156062425,24.9865678887309,7.47,18.48,418.17,91.4,126.31,198.09,52.11,180.32,13.96
peanut,河南,huabei,2013,920.81,275.36,0.53421444163291,0.0907353308500125,0.135782626166093,0.180753901456326,0.058513699894658,68,47.4341649025257,6.70761802575107,9.53810888252149,25.1217758339745,7.23,18.64,491.91,83.55,125.03,166.44,53.88,281.51,25.86
peanut,河南,huabei,2014,952.49,234.85,0.584352591628259,0.0843893374208653,0.127539396739073,0.149198416781279,0.0545202574305242,74.4,50,6.37021499737808,8.30081775700935,24.2631129971228,7.48,19.07,556.59,80.38,121.48,142.11,51.93,330.41,34.47
peanut,河南,huabei,2015,974.35,281.57,0.545245548314261,0.0903166213373018,0.136952840355109,0.170123672191718,0.0573613178016113,78,51.25,5.93594306049822,9.22426265998887,23.1593016248836,6.81,22.48,531.26,88,133.44,165.76,55.89,356.1,49.22
peanut,河南,huabei,2016,1015.6698,306.69,0.541534069438709,0.0865143376321714,0.132178784876738,0.183287915029077,0.0564848930233034,81.4,52.5,6.26750700280112,10.0301724137931,21.9664310534739,6.76,21.42,550.0198,87.87,134.25,186.16,57.37,351.75,54.06
