draw,success,nll_aidads,nll_maidads,lr_stat,message,elapsed_seconds,n_sampled_provinces,n_unique_sampled_provinces
402,True,-3484.9342990850773,-3515.070233324617,60.271868479079785,ok,168.54830193519592,31,19
403,True,-3185.3070805898947,-3341.102786430027,311.5914116802651,ok,192.56899404525757,31,18
404,True,-3044.517064101304,-3272.0602300517103,455.0863319008122,ok,149.54451823234558,31,20
405,True,-2987.486843344114,-3275.345914784825,575.718142881422,ok,165.61936593055725,31,20
406,False,-2988.5273795363423,-3171.1507377576554,365.24671644262617,ok,236.84522700309753,31,23
407,False,-3034.0435641786576,-3264.88912345449,461.69111855166466,ok,234.4113411903381,31,23
408,True,-3045.918351111761,-3382.284214982093,672.7317277406646,ok,150.843327999115,31,19
409,True,-2973.0013929806214,-3220.546306028642,495.0898260960412,ok,168.5977499485016,31,20
410,True,-3233.370170318227,-3348.1613736838585,229.5824067312633,ok,162.5649471282959,31,21
411,True,-3548.6219707880714,-3618.093280019767,138.94261846339214,ok,204.82045602798465,31,19
412,True,-3007.7480212189175,-3313.4177428333214,611.3394432288078,ok,166.21380400657654,31,18
413,True,-3052.0585417029433,-3351.4367615184087,598.7564396309308,ok,211.08954977989197,31,18
414,True,-3460.2364547512043,-3517.854540266616,115.23617103082324,ok,117.51541709899902,31,19
415,True,-2958.841207617393,-3147.57425338859,377.46609154239377,ok,130.62088012695312,31,21
416,True,-3478.4643485478036,-3635.9492048298,314.9697125639923,ok,166.69576597213745,31,19
417,True,-3267.2361445254924,-3375.0941527989703,215.71601654695587,ok,144.75195908546448,31,18
418,True,-3068.442294501722,-3293.976743550438,451.0688980974328,ok,173.35870003700256,31,19
419,True,-3487.9654617862234,-3658.898708417181,341.8664932619149,ok,93.19547319412231,31,19
420,True,-3011.1727982422412,-3451.2594389989713,880.1732815134601,ok,200.83679008483887,31,19
